GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1600000US0100100,0100100,"Abanda CDP, Alabama",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0100124,0100124,"Abbeville city, Alabama",410,90,81,42,47,35,120,67,7,11,30,31,5,9,47,57,16,14,15,17,6,9,20,19,4,8,0,11,12,15,0,11,0,11
1600000US0100460,0100460,"Adamsville city, Alabama",585,116,40,31,11,18,9,14,11,14,28,37,109,77,17,25,61,48,21,20,52,43,38,33,112,62,38,41,33,47,5,8,0,11
1600000US0100484,0100484,"Addison town, Alabama",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0100676,0100676,"Akron town, Alabama",118,37,26,17,18,17,6,9,16,16,14,14,21,17,2,6,7,11,0,11,0,11,0,11,0,11,0,11,8,12,0,11,0,11
1600000US0100820,0100820,"Alabaster city, Alabama",1548,212,102,68,73,58,94,58,35,36,88,58,85,75,85,55,46,38,32,34,99,79,105,69,317,109,121,68,105,85,134,105,27,33
1600000US0100988,0100988,"Albertville city, Alabama",99,63,0,21,60,59,1,3,0,21,0,21,7,13,7,10,2,4,0,21,0,21,22,22,0,21,0,21,0,21,0,21,0,21
1600000US0101132,0101132,"Alexander City city, Alabama",1760,230,352,125,139,72,121,95,166,87,145,111,110,62,98,72,125,90,88,89,110,95,167,83,117,91,22,25,0,18,0,18,0,18
1600000US0101180,0101180,"Alexandria CDP, Alabama",163,55,16,29,42,49,13,22,0,11,0,11,25,39,0,11,0,11,0,11,14,24,0,11,53,46,0,11,0,11,0,11,0,11
1600000US0101228,0101228,"Aliceville city, Alabama",977,129,266,94,168,103,164,93,47,43,85,52,49,37,31,32,5,8,4,6,19,23,81,70,15,23,37,45,0,11,6,10,0,11
1600000US0101396,0101396,"Allgood town, Alabama",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0101660,0101660,"Altoona town, Alabama",7,11,0,11,0,11,0,11,0,11,7,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0101708,0101708,"Andalusia city, Alabama",941,123,213,95,110,45,73,45,102,52,142,88,73,52,41,28,36,37,31,33,20,21,76,45,0,16,0,16,10,14,0,16,14,24
1600000US0101756,0101756,"Anderson town, Alabama",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0101852,0101852,"Anniston city, Alabama",4740,286,1188,228,512,160,459,130,373,133,336,120,218,99,167,91,253,105,115,64,365,133,276,103,268,99,97,48,17,20,14,22,82,90
1600000US0102116,0102116,"Arab city, Alabama",0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1600000US0102260,0102260,"Ardmore town, Alabama",4,6,0,11,0,11,0,11,0,11,0,11,4,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0102320,0102320,"Argo town, Alabama",59,64,43,58,0,11,0,11,16,28,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0102428,0102428,"Ariton town, Alabama",91,49,19,22,22,22,18,19,12,12,6,5,0,11,0,11,0,11,8,13,0,11,0,11,0,11,6,10,0,11,0,11,0,11
1600000US0102500,0102500,"Arley town, Alabama",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0102836,0102836,"Ashford town, Alabama",165,38,40,22,40,22,18,19,14,12,5,5,3,4,9,6,0,11,7,6,0,11,0,11,15,13,0,11,12,14,0,11,2,3
1600000US0102860,0102860,"Ashland town, Alabama",168,68,69,50,47,48,0,11,0,11,8,12,11,17,0,11,7,10,17,28,9,14,0,11,0,11,0,11,0,11,0,11,0,11
1600000US0102908,0102908,"Ashville city, Alabama",278,86,30,27,25,30,22,36,5,9,38,48,34,45,11,21,10,18,44,40,12,22,0,11,24,29,23,37,0,11,0,11,0,11
1600000US0102956,0102956,"Athens city, Alabama",1656,231,286,123,162,111,70,49,164,108,95,70,135,86,59,56,102,72,113,78,168,87,103,71,149,85,33,38,6,11,11,19,0,21
1600000US0103004,0103004,"Atmore city, Alabama",1465,242,317,178,225,107,162,92,261,121,36,38,134,91,8,15,32,34,47,48,11,19,36,60,183,132,0,18,0,18,0,18,13,20
1600000US0103028,0103028,"Attalla city, Alabama",355,135,36,48,65,54,0,16,103,97,44,48,17,17,0,16,10,9,0,16,0,16,13,23,48,48,13,19,6,10,0,16,0,16
1600000US0103076,0103076,"Auburn city, Alabama",3642,309,637,197,287,94,320,130,451,182,253,120,211,111,93,64,279,105,279,137,258,136,233,103,177,91,74,67,61,49,19,33,10,16
1600000US0103220,0103220,"Autaugaville town, Alabama",279,67,55,29,34,24,25,28,28,29,13,16,8,8,11,15,12,15,8,10,4,7,37,31,19,17,20,24,5,6,0,11,0,11
1600000US0103364,0103364,"Avon town, Alabama",3,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,3,4,0,11,0,11,0,11,0,11,0,11,0,11
